NAME	DESCRIPTION	Naive WT 1	Naive WT 2	Naive KO 1	Naive KO 2	Activated WT	Activated KO	Memory WT	Memory KO	WT Foxp3+	KO Foxp3+
Trim27	19720	25.94095752	91.5917314	57.753004	66.4676806	18.90393122	26.4510632	4.138702562	43.4615394	45.00630716	44.717349
Cct7	12468	11087.43702	8972.73902	10781.282	10833.2152	21816.11168	21951.23272	6675.8915	6392.923196	5419.49138	5476.64824
Cct7	12468	6768.26792	2474.889078	6761.03664	2826.962652	17423.28594	16441.2238	2008.76034	1709.00003	2266.094748	1920.681988
Anxa6	11749	6591.73426	3931.75172	5780.503636	3600.553472	1649.327392	1909.200074	5243.40394	4621.69368	3424.287988	2589.423022
Ppp2r1a	51792	4240.80088	3150.44936	3240.641892	3730.027202	6669.372544	5763.813084	3739.814442	2535.461778	2765.20573	2233.12649
Nono ; LOC434808	434808 ; 53610	9801.1779	4994.52196	9648.55882	6398.607876	14865.91994	13820.0513	3950.143236	4547.7699	3716.0913	3925.02956
Sdfr1	20320	5669.46338	2181.469976	4054.007268	2477.117144	9151.60368	8763.48996	3420.88606	3568.691958	2547.86958	2457.218396
Scd2	20250	3727.71559	2845.462356	3296.36404	2006.346682	25145.7883	23116.18364	2769.122772	2023.15408	2519.731524	1793.45438
Scd2	20250	271.2878036	457.384972	169.3241804	270.3494096	3229.341056	2045.5487	480.4206022	415.2307684	737.745886	546.128621
Scd2	20250	67.17343044	66.35142216	40.1097834	29.21320718	588.4454322	378.029777	36.58613132	29.15384956	57.98739456	52.29044758
1810073N04Rik	72055	2292.361862	1476.940396	2542.782598	1536.39059	2623.283942	2104.591228	1323.722656	1092.076904	1123.447576	1365.105306
Atp6v1h	108664	3693.58272	2175.925008	2801.33808	2268.34938	4790.61126	4062.285648	2436.2058	1824.230684	1887.932844	1334.235688
D3Ucla1	28146	7493.93338	2949.578802	7007.02522	4220.341582	9651.99094	8868.03383	3422.706904	3301.46116	2950.67267	2707.347202
D3Ucla1	28146	1855.4612	1587.74918	2332.840528	1735.081108	8230.96672	8656.26766	1889.483292	2090.307748	2004.295994	2147.153882
Lbr	98386	11651.448	12720.5408	11358.17564	14495.5529	11086.2693	10447.6974	8457.354476	9813.1548	7197.66587	7410.67524
Orc5l	26429	2522.280602	1395.57858	2768.59012	1245.98906	5302.63206	5569.522976	926.324452	699.384582	1246.88446	1106.105306
Psmd2	21762	7634.55928	3604.87078	6185.7895	4119.775212	19775.12952	18181.32344	3720.610628	3325.999708	2911.02976	2596.202458
Agtr2	11609	9.83025768	26.7700254	1.142367378	7.53232532	3.554585264	1.41702119	2.400447742	33.5384613	18.03361574	3.31773894
Rps29	20090	30245.5168	102903.3196	23728.86516	85070.7922	30724.53878	31757.01342	68876.1068	61816.085	34047.696	32076.39816
Dusp6	67603	801.029428	708.545264	743.427088	878.330272	8973.71434	6579.230184	1954.046812	2302.692188	710.151286	615.801138
Csh2	18776	28.1254612	1.051679786	3.300171932	22.80054996	3.71615716	1.574467882	1.73825482	35.076925	1.554621748	2.59649128
Aldh18a1	56454	609.339532	315.886279	584.8919596	333.254486	1145.222668	1021.51487	332.917268	237.6923142	250.6827996	264.2651
Klk6	16612	13.92619912	35.18346132	26.65523364	31.4525456	7.43231432	6.29787138	2710.76726	624.000042	42.75210362	13.92007784
Tde2	56442	4840.85652	2476.991788	3210.813676	3050.59117	5060.27503	5578.49888	2211.722656	2403.69242	3268.359702	2794.834368
Npm1	18148	18499.72768	29586.51128	18073.38926	34701.41792	34174.9094	35369.32638	17793.19492	16627.31086	14092.57406	13224.93664
Elovl5	68801	15996.69618	7204.00434	13831.40364	8440.88474	11886.21078	10120.5212	4847.66156	5064.23107	6359.87894	6962.78062
Dncic2	13427	3465.98499	2044.082612	2790.041684	1993.317724	4181.807932	4130.3026	1761.845502	1419.615556	1827.535672	1705.678318
MGI:1929514	56716	573.9779142	571.539962	505.307076	353.001386	537.0655598	587.591524	453.1051524	200.8461602	260.7100808	316.6276702
MGI:1929514	56716	76.4575622	104.0206678	89.6123572	141.689132	160.6026218	149.574461	114.145407	123.3077022	113.6428582	158.6023352
Syt4	20983	3.276753078	1.720930088	2.03087487	1.221458282	1.13100416	1.102127806	2.234899456	1.38461548	1.710084056	2.0194933
Syt4	20983	13.92619912	20.45994698	4.18867972	44.685011	18.90393122	3.621275988	48.7539158	84.3076968	31.79201912	43.9961006
Ldh3	16833	14.881918	3.7286824	1.52315606	3.35900948	2.746724748	12.2808513	4.9664434	32.30769404	1.088235268	4.111110848
Ldh3	16833	4.0959407	67.7855318	5.96569426	12.927097	12.27947638	30.07234052	35.09619756	5.00000092	10.49369728	8.43859592
Csh1	18775	64.3062701	13.3850127	27.54374276	12.21458208	60.4279523	36.99999778	13.9060393	37.384615	26.4285746	12.69395852
Stmn1	16765	7620.498244	3325.41052	5988.41522	2766.704156	27956.96912	25540.7041	2371.31076	7382.15342	1777.632292	3021.59427
Rasa3	19414	9138.18193	7933.96698	6704.17208	7709.53608	286.95202	245.1446692	3300.697998	3165.615438	2557.120024	2155.159794
Impdh2	23918	8540.44434	5030.18404	7943.13114	6152.28156	21640.9596	20959.79108	2870.604004	3018.38452	2912.195408	2563.5302
Impdh2	23918	7969.33528	7634.23886	6361.71488	7262.58718	14729.71628	13617.88996	4374.857356	3603.76892	3990.40412	4240.431102
Def8	23854	201.1107028	295.3307144	137.5917742	195.433297	233.6332144	168.4680744	232.0984322	236.1538838	130.2773256	79.8421002
Kitl	17311	4.77859736	4.78036152	2.411664292	36.13480162	4.68559046	19.99574276	13.57494406	51.3846232	36.9222704	8.0058491
Kitl	17311	28.26199268	29.63824172	37.95197522	6.71801896	38.9388666	21.727658	24.58389298	56.2307722	47.1050404	31.30214578
Emb	13723	8752.8902	4519.353308	6433.04977	4594.81947	4896.27956	4395.60037	2566.657662	2460.461298	2056.687032	2021.512834
Emb	13723	14387.94728	11481.56842	11198.37412	10150.51858	9912.2815	9094.12566	5767.77756	6074.15458	4167.552942	4522.149324
Eif3s8	56347	7533.25439	6262.65478	7569.3231	6171.00874	15401.53194	14337.41786	5662.98727	4444.385092	4812.40944	3886.65871
Eif3s8	56347	1719.475988	1528.18621	1937.58159	1545.551716	2045.987076	2660.69368	1466.34219	1662.384618	1577.164072	1916.282836
Kpna2	16647	2580.71559	1369.669182	2793.08782	1275.405836	22103.86882	23330.62528	1637.10533	2663.46165	1817.89695	1902.723298
Tyrp1	22178	1.092250804	5.92764753	23.10120382	16.79504888	24.55895276	2.676595836	40.97315398	52.3076918	9.56092358	12.54970588
Tyrp1	22178	43.5535066	2.67700254	2.91938251	34.2008242	18.2576426	21.09787064	17.13422862	34.53846548	17.87815136	13.99220194
Eif4g2	13690	7563.97586	8970.82686	8396.52618	8855.36614	11903.33956	12866.3948	6436.09598	6853.77048	6421.21088	6625.0202
Bpgm	12183	1008.966764	992.689946	579.0533004	763.105945	1089.480466	874.77435	601.436184	540.461553	743.109258	657.200734
Bpgm	12183	1637.010906	1223.10345	1033.969218	746.514442	1803.144088	1681.531896	796.783012	516.307694	765.573586	554.2066682
AW538196	101869	1059.073792	798.894084	860.202344	888.407074	375.4934196	282.7744536	552.1856616	417.0000418	488.306686	339.563356
Cct4	12464	12029.64202	9766.6643	12291.36226	10346.76732	22716.5459	23210.9621	7084.21758	7314.691024	6024.08322	6633.456496
Cct4	12464	93.6605124	12.4289401	89.739282	69.0123852	69.799131	78.7234052	84.1812086	10.5384621	47.80462382	4.9044832
